,file_num,well_name,operator,api,latitude,longitude
0,11745,Basic Game & Fish 34-3,"RIM Operating, Inc",33-053-02102,,
1,11920,Corps of Engineers 31-10,"RIM Operating, Inc",33-053-02148,,
2,20407,CHALMERS 5300 31-19H,OASIS PETROLEUM NORTH AMERICA LLC,33-053-03472,48.057353,-102.397386
3,20863,,,33-053-03608,48.082761,-102.388394
4,21796,DAHL FEDERAL 2-15H NWNE,Oasis Petroleum North America LLC,33-053-03846,48.080347,-102.344403
5,20864,,,33-053-03609,48.082767,-102.387986
6,21266,DAHL 15-11H SWSE,Oasis Petroleum North America LLC,33-053-03703,48.082328,-102.3641
8,22099,,,33-053-03911,49.691667,-102.376956
9,22220,,,33-053-03936,48.082792,-102.386011
10,22221,INNOKO 5301 43-12T SWSE,Oasis Petroleum North America LLC,33-053-03937,48.082797,-102.385603
11,22247,Magnum 1-36-25H,,33-053-03943,48.025092,-102.377681
12,22249,,,33-053-03944,48.024964,-102.394833
13,22731,,,33-053-04069,48.024964,-102.394731
14,22740,LARRY 5301 44-128 SESt,Oasis Petroleum North America LLC 281 404-9,33-053-04071,48.082711,-102.392597
15,23230,ASH FEDERAL 5300 11-18T LOT1,"Oasis Petroleum North America LLC ,",33-053-04211,48.079792,-102.3973
16,23360,Atlanta 13-6H,"Continental Resources, Inc.",33-105-02720,,
17,23359,Atlanta 14-6H,"Continental Resources, Inc.",33-105-02719,,
18,23361,"Continental Resources, Inc.",,33-105-02721,,
19,23363,Atlanta Federal 10-6H,"Continental Resources, Inc.",33-105-02723,,
20,23362,Atlanta 11-6H,"Continental Resources, Inc.",33-105-02722,,
21,23364,Atlanta Federal 9-6H,"Continental Resources, Inc.",83-105-02724,,
22,23365,Atlanta Federal 8-6H,"Continental Resources, Inc.",83-105-02725,,
23,15358,Lewis & Clark 2-4H,RIM Operatin,33-053-02556,,
24,23366,Atlanta Federal 7-6H,"Continental Resources, Inc.",33-105-02726,,
25,23367,Atlanta Federal 6-6H,"Continental Resources, Inc.",33-105-02727,,
26,23368,Atlanta Federal 5-6H,"Continental Resources, Inc.",33-105-02728,,
27,23370,Atlanta 3-6H,"Continental Resources, Inc.",33-105-02730,,
28,23372,Atlanta 1-6H,"Continental Resources, Inc.",33-105-02732,,
29,23371,Atlanta 2-6H,"Continental Resources, Inc.",33-105-02731,,
30,25156,Columbus Federal 1-16H,"Continental Resources, Inc",33-053-04852,48.074908,-102.329792
31,25157,Tallahassee 3-16H,Continental Resources Inc.,33-053-04853,,
32,25160,Columbus Federal 3-16H,Continental Resources Inc.,33-053-04856,48.075456,-102.330278
33,25159,,,33-053-04855,48.07535,-102.330183
34,25158,,,33-053-04854,,
35,25571,,,33-053-04981,48.082717,-102.391978
36,28190,Operator,Oasis Petroleum North America LLC,33-053-05845,48.031608,-102.396853
37,28303,WADE FEDERAL 5300 31-30 11T LOT3,Oasis Petroleum North America LLC 2,33-053-05906,48.044158,-102.397281
38,28194,LEWIS FEDERAL 5300 21-31 5B,Oasis Petroleum North America LLC,33-053-05849,48.031244,-102.396853
39,28342,,,33-053-05924,48.055783,-102.394847
40,28394,WADE FEDERAL 5300 41-30 4T LO1,Oasis Petroleum North America LLC,33-053-05943,48.042258,-102.396831
41,28425,,,33-053-05954,48.829167,-102.396994
42,28554,WADE FEDERAL 5300 31-30 2B LO,Oasis Petroleum North America LLC,33-053-05995,48.042439,-102.396831
43,28599,CHALMERS 5301 44-24 3BR SESE,Oasis Petroleum North America LLC,33-053-06010,48.055694,-102.394847
44,28557,WADE FEDERAL 5300 41-30 7T,Oasis Petroleum North America LLC,33-053-05998,48.0412,-102.396994
45,28601,,,33-053-06012,48.055467,-102.394847
46,28633,,,33-053-06018,48.061742,-102.397192
47,28634,CHALMERS 5300 21-19 6B LOT?,Oasis Petroleum North America LLC,33-053-06019,48.061653,-102.397192
48,28636,,Oasis Petroleum North America LLC,33-053-06021,48.061472,-102.397192
49,28637,,Oasis Petroteum North America LLC,33-053-06022,49.179167,-102.397192
50,28651,KLINE FEDERAL 5300 41-18 9T Swsw,Oasis Petroleum North America LLC,33-053-06025,48.069036,-102.396678
51,28649,CHALMERS 5300 21-19 11B LOT:,Oasis Petroleum North America LLC,33-053-06024,48.0612,-102.397192
52,28648,,,33-053-06023,48.061381,-102.397192
53,28600,,,33-053-06011,48.055694,-102.394847
54,28652,,,33-053-06026,48.068944,-102.396681
55,28654,,Oasis Petroleum North America LLC,33-053-06028,48.068672,-102.396681
56,28655,,,33-053-06029,48.068583,-102.396681
57,28658,KLINE FEDERAL 5300 41-18 12TX LOT4,Oasis Petroleum North America LLC,33-053-06030,,
58,23369,Atlanta 4-6H,"Continental Resources, Inc.",33-105-02729,,
59,28744,WADE FEDERAL 5300 41-30 9B LOT:,Oasis Petroteum North America LLC,33-053-06051,48.041019,-102.396994
60,28754,KLINE FEDERAL 5300 31-18 8B LOT3,Oasis Petroleum North America LLC,33-053-00605,48.848889,-102.396839
61,28755,KLINE FEDERAL 5300 31-18 7T LOT3,Oasis Petroleum North America LLC,33-053-06056,48.0744,-102.396839
62,28756,KLINE FEDERAL 5300 31-18 6B LOT3,Oasis Petroleum North America LLC,33-053-06057,48.074308,-102.396839
63,29242,KLINE FEDERAL 5300 11-18 5B LOT1,,33-053-06223,,
64,28976,WADE FEDERAL 5300 21-30 12T SWNY,Oasis Petrofeum North America LLC,33-053-06129,48.04865,-102.396953
65,28978,,Oasis Petroleum North America LLC,33-053-06131,48.048831,-102.396953
66,29244,KLINE FEDERAL 5300 11-18 3T LOT1,Oasis Petroleum North America LLC 2,33-053-06225,,
67,29316,GRAMMA FEDERAL 5300 41-31 128 LOT4,Oasis Petroleum North America LLC,33-053-06231,48.026172,-102.397125
68,29317,,,33-053-06232,48.026356,-102.397125
69,30188,LEWIS FEDERAL 5300 11-31 3B,Oasis Petroleum North America LLC,33-053-06548,48.036039,-102.396781
70,29334,KLINE FEDERAL 5300 11-18 2B LOT1,Oasis Petroleum North America LLC,33-053-06243,,
71,30189,Oasis Petroleum North America LLC,,33-053-06549,48.036128,-102.396792
72,30789,KLINE FEDERAL 5300 31-18 15T LOT3,Oasis Petroleum North America LLC,33-053-06755,48.858056,-102.396839
73,36047,Operator,Oasis Petroleum North America LLC,33-053-08946,48.035647,-102.396892
74,90329,CARSON SWD 5301 12-24 NENV,Oasis Petroleum North America LLC,33-053-90329,48.066081,103.615569
75,90244,,,33-053-90244,48.029083,-102.400425
