pdf,file_num,well_name,latitude,longitude
W11745.pdf,,"LOCATION OF WELL: Qtr.-Qtr.,__ SWSE Sec., _ =",,
W15358.pdf,,,,
W20197.pdf,5300,WADE,"-103° 36° 11.54""","48° 02° 49.42"""
W20407.pdf,5300,CHALMERS,"-103° 36' 09.41""","48° 03' 26.47"""
W20863.pdf,12,FOLEY FEDERAL,"-103° 36' 41.78""","48° 04' 57.94"""
W20864.pdf,5301,BRAY,"-103° 36' 43.25""","48° 04' 57.96"""
W21266.pdf,11,DAHL,"-103° 38' 09.24""","48° 04' 56.38"""
W21796.pdf,2,DAHL FEDERAL,"-103° 39' 20.15""","48° 04' 49.25"""
W22099.pdf,5301,DAPHNE,"-103° 37' 22.96""","48° 04' 5850"""
W22220.pdf,5301,JEFFERIES,"-103° 36' 50.36""","48° 04' 58.05"""
W22221.pdf,5301,TIMMONS,"-103° 36' 51.83 ""","48° 04' 58.07"""
W22247.pdf,1,MAGNUM,"-103° 37' 20.35""","48° 01° 30.33"""
W22249.pdf,2,MAGNUM,"-103° 36' 18.60""","48° 01' 29.87"""
W22731.pdf,3,MAGNUM,"-103° 36' 18.97""","48° 01' 29.87"""
W22740.pdf,5301,LARRY,"-103° 36' 26.65""","48° 04' 57.76"""
W23230.pdf,5300,ASH FEDERAL,"-103° 36' 09.72""","48° 04' 47.25"""
W25156.pdf,16,COLUMBUS FEDERAL,"-103° 40' 12.75""","48° 04' 29.67"""
W25159.pdf,2,COLUMBUS FEDERAL,"-103° 40' 11.34""","48° 04' 31.26"""
W25160.pdf,3,COLUMBUS FEDERAL,"-103° 40' 11.00""","48° 04' 31.64"""
W25571.pdf,5301,COLVILLE,"-103° 36' 28.88""","48° 04' 57.78"""
W28190.pdf,5300,LEWIS FEDERAL,"-103° 36' 11.33""","48° 01° 53.79"""
W28194.pdf,5300,LEWIS FEDERAL,"-103° 36' 11.33""","48° 01° 52.48"""
W28303.pdf,5300,WADE FEDERAL,"-103° 36' 09.79""","48° 02' 38.97"""
W28342.pdf,5301,CHALMERS,"-103° 36' 18.55""","48° 03' 20.82"""
W28394.pdf,5300,WADE FEDERAL,"-103° 36' 11.41""","48° 02° 32.13"""
W28425.pdf,5300,WADE FEDERAL,"-103° 36' 10.82""","48° 02' 2865"""
W28554.pdf,5300,WADE FEDERAL,"-103° 36' 11.41""","48° 02' 32.78"""
W28557.pdf,5300,WADE FEDERAL,"-103° 36' 10.82""","48° 02' 28.32"""
W28599.pdf,5301,CHALMERS,"-103° 36' 18.55 ""","48° 03' 20.5"""
W28600.pdf,5301,CHALMERS,"-103° 36' 18.55 ""","48° 03' 20.5"""
W28601.pdf,5301,CHALMERS WADE FEDERAL,"-103° 36' 18.55""","48° 03' 19.68"""
W28633.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03' 42.27"""
W28634.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03' 41.95"""
W28636.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03"" 41.30"""
W28637.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03' 4065"""
W28648.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03' 40.97"""
W28649.pdf,5300,CHALMERS,"-103° 36' 10.11""","48° 03' 40.32"""
W28651.pdf,5300,KLINE FEDERAL,"-103° 36' 11.96""","48° 04' 8.53"""
W28652.pdf,5300,KLINE FEDERAL,"-103° 36' 11.95""","48° 04' 8.20"""
W28654.pdf,5300,KLINE FEDERAL,"-103° 36' 11.95""","48° 04' 7.22"""
W28655.pdf,5300,KLINE FEDERAL,"-103° 36' 11.95""","48° 04' 6.90"""
W28744.pdf,5300,WADE FEDERAL,"-103° 36' 10.82""","48° 02' 27.67"""
W28754.pdf,5300,KLINE FEDERAL,"-103° 36' 11.38""","48° 04' 2816"""
W28755.pdf,5300,KLINE FEDERAL,"-103° 36' 11.38""","48° 04' 27.84"""
W28756.pdf,5300,KLINE FEDERAL,"-103° 36' 11.38""","48° 04' 27.51"""
W28976.pdf,5300,WADE FEDERAL,"-103° 36' 10.97""","48° 02° 55.14"""
W28978.pdf,5300,WADE FEDERAL,"-103° 36' 10.97""","48° 02' 55.79"""
W29316.pdf,5300,GRAMMA FEDERAL,"-103° 36' 10.35""","48° 01° 34.22"""
W29317.pdf,5300,GRAMMA FEDERAL,"-103° 36' 10.35""","48° 01' 34.88"""
W30188.pdf,5300,LEWIS FEDERAL,"-103° 36' 11.59""","48° 02' 09.74"""
W30189.pdf,5300,LEWIS FEDERAL,"-103° 36' 11.55""","48° 02' 10.06"""
W30789.pdf,5300,KLINE FEDERAL,"-103° 36' 11.38""","48° 04' 2849"""
W36047.pdf,5300,LEWIS FEDERAL,"-103° 36' 11.19 ""","48° 02' 8.33"""
W90244.pdf,5300,BUCK SHOT SWD,"-103° 35"" 58.47""","48° 1' 44.70"""
W90258.pdf,153,ATLANTA,NAD83,"48° 06° 35.99""} -103° 43' 54.57"""
W90329.pdf,5301,CARSON SWD,NAD83,"48° 03° 57.89"" 103° 36° 56.05"""
